pipeline,file_path,filename,true_label,predicted_label,anomaly_score,threshold,is_correct,error_type
without_stft,data\abnormal\abnormal_0062.wav,abnormal_0062.wav,1,0,0.18961487710475922,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0040.wav,abnormal_0040.wav,1,0,0.22031518816947937,0.39218610525131226,0,FN
without_stft,data\abnormal\00015_clean_from_00h01m10s.wav,00015_clean_from_00h01m10s.wav,1,0,0.08687727898359299,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0007.wav,abnormal_0007.wav,1,0,0.07125557959079742,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0033.wav,abnormal_0033.wav,1,0,0.05759143829345703,0.39218610525131226,0,FN
without_stft,data\abnormal\00520_suspicious_from_00h43m15s.wav,00520_suspicious_from_00h43m15s.wav,1,0,0.09588254988193512,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0036.wav,abnormal_0036.wav,1,0,0.044914789497852325,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0029.wav,abnormal_0029.wav,1,0,0.0523950569331646,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0012.wav,abnormal_0012.wav,1,0,0.19184117019176483,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0065.wav,abnormal_0065.wav,1,0,0.13805702328681946,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0026.wav,abnormal_0026.wav,1,0,0.1357204020023346,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0044.wav,abnormal_0044.wav,1,0,0.044998008757829666,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0030.wav,abnormal_0030.wav,1,0,0.06468487530946732,0.39218610525131226,0,FN
without_stft,data\abnormal\abnormal_0039.wav,abnormal_0039.wav,1,0,0.09689192473888397,0.39218610525131226,0,FN
without_stft,data\abnormal\00030_clean_from_00h02m25s.wav,00030_clean_from_00h02m25s.wav,1,0,0.08518345654010773,0.39218610525131226,0,FN
