filename,file_path,class,label
normal_0001.wav,data\normal\normal_0001.wav,normal,0
normal_0002.wav,data\normal\normal_0002.wav,normal,0
normal_0003.wav,data\normal\normal_0003.wav,normal,0
normal_0005.wav,data\normal\normal_0005.wav,normal,0
normal_0006.wav,data\normal\normal_0006.wav,normal,0
normal_0007.wav,data\normal\normal_0007.wav,normal,0
normal_0008.wav,data\normal\normal_0008.wav,normal,0
normal_0009.wav,data\normal\normal_0009.wav,normal,0
normal_0010.wav,data\normal\normal_0010.wav,normal,0
normal_0011.wav,data\normal\normal_0011.wav,normal,0
normal_0012.wav,data\normal\normal_0012.wav,normal,0
normal_0013.wav,data\normal\normal_0013.wav,normal,0
normal_0014.wav,data\normal\normal_0014.wav,normal,0
normal_0015.wav,data\normal\normal_0015.wav,normal,0
normal_0016.wav,data\normal\normal_0016.wav,normal,0
normal_0017.wav,data\normal\normal_0017.wav,normal,0
normal_0018.wav,data\normal\normal_0018.wav,normal,0
normal_0019.wav,data\normal\normal_0019.wav,normal,0
normal_0020.wav,data\normal\normal_0020.wav,normal,0
normal_0021.wav,data\normal\normal_0021.wav,normal,0
normal_0022.wav,data\normal\normal_0022.wav,normal,0
normal_0023.wav,data\normal\normal_0023.wav,normal,0
normal_0024.wav,data\normal\normal_0024.wav,normal,0
normal_0025.wav,data\normal\normal_0025.wav,normal,0
normal_0026.wav,data\normal\normal_0026.wav,normal,0
normal_0027.wav,data\normal\normal_0027.wav,normal,0
normal_0028.wav,data\normal\normal_0028.wav,normal,0
normal_0029.wav,data\normal\normal_0029.wav,normal,0
normal_0030.wav,data\normal\normal_0030.wav,normal,0
normal_0031.wav,data\normal\normal_0031.wav,normal,0
normal_0032.wav,data\normal\normal_0032.wav,normal,0
normal_0033.wav,data\normal\normal_0033.wav,normal,0
normal_0034.wav,data\normal\normal_0034.wav,normal,0
normal_0035.wav,data\normal\normal_0035.wav,normal,0
normal_0036.wav,data\normal\normal_0036.wav,normal,0
normal_0037.wav,data\normal\normal_0037.wav,normal,0
normal_0038.wav,data\normal\normal_0038.wav,normal,0
normal_0039.wav,data\normal\normal_0039.wav,normal,0
normal_0040.wav,data\normal\normal_0040.wav,normal,0
normal_0041.wav,data\normal\normal_0041.wav,normal,0
normal_0042.wav,data\normal\normal_0042.wav,normal,0
normal_0043.wav,data\normal\normal_0043.wav,normal,0
normal_0044.wav,data\normal\normal_0044.wav,normal,0
normal_0045.wav,data\normal\normal_0045.wav,normal,0
normal_0046.wav,data\normal\normal_0046.wav,normal,0
normal_0047.wav,data\normal\normal_0047.wav,normal,0
normal_0048.wav,data\normal\normal_0048.wav,normal,0
normal_0049.wav,data\normal\normal_0049.wav,normal,0
normal_0050.wav,data\normal\normal_0050.wav,normal,0
normal_0051.wav,data\normal\normal_0051.wav,normal,0
normal_0052.wav,data\normal\normal_0052.wav,normal,0
normal_0053.wav,data\normal\normal_0053.wav,normal,0
normal_0054.wav,data\normal\normal_0054.wav,normal,0
normal_0055.wav,data\normal\normal_0055.wav,normal,0
normal_0056.wav,data\normal\normal_0056.wav,normal,0
normal_0057.wav,data\normal\normal_0057.wav,normal,0
normal_0058.wav,data\normal\normal_0058.wav,normal,0
normal_0059.wav,data\normal\normal_0059.wav,normal,0
normal_0060.wav,data\normal\normal_0060.wav,normal,0
normal_0061.wav,data\normal\normal_0061.wav,normal,0
normal_0062.wav,data\normal\normal_0062.wav,normal,0
normal_0063.wav,data\normal\normal_0063.wav,normal,0
normal_0064.wav,data\normal\normal_0064.wav,normal,0
